>python -u "runit.py"
./timeucds/ucds0
425.801758, 421.970764, 387.209595, 383.499664, 382.767975, 422.493073, 94.847931, 433.902130, 77.611771, 34.896301, 80.431747; 244.004623 - 242.155991 - 241.556198 - 243.224869 - 245.159851 - 243.992523 - 254.129318 - 254.646164 - 264.193756 - 263.257507 - 269.838165 - 268.409332 - 269.204468 - 268.934814 - 268.026489 - 268.575012 - 271.025757 - 267.863495 - 275.448395 - 272.434021 - 16384
425.670837, 422.618408, 385.831177, 382.010864, 358.019775, 422.820190, 96.928963, 411.465302, 76.868759, 34.482651, 79.227646; 244.149353 - 233.890305 - 234.741135 - 234.189178 - 234.380814 - 233.650482 - 252.201370 - 250.007202 - 261.848450 - 259.699768 - 265.812592 - 266.966858 - 265.933563 - 267.325958 - 266.713776 - 267.421600 - 269.823120 - 271.601349 - 273.520874 - 267.169891 - 32768
425.446106, 422.775635, 386.085754, 381.903992, 382.444092, 420.710266, 97.284508, 433.084930, 77.774765, 34.773762, 80.417435; 234.268936 - 233.633820 - 234.573364 - 235.192062 - 232.940689 - 233.231171 - 250.741821 - 250.901215 - 262.639832 - 260.678192 - 268.067352 - 267.794464 - 259.583984 - 260.860657 - 262.700958 - 265.376190 - 269.971588 - 271.247406 - 273.139740 - 273.398651 - 65536
407.932159, 422.996216, 386.046356, 381.763855, 381.949646, 414.987915, 96.888504, 433.060608, 78.043388, 34.339752, 80.456055; 233.989426 - 234.379974 - 234.311646 - 236.853653 - 234.596497 - 233.456970 - 250.875183 - 243.904877 - 260.551208 - 260.148346 - 268.247925 - 266.480591 - 262.856476 - 264.905090 - 265.328094 - 265.654755 - 270.723938 - 270.613281 - 273.333862 - 273.279053 - 131072
427.024384, 421.201019, 387.838806, 382.670197, 383.486176, 422.799957, 97.498863, 433.201111, 78.136787, 34.728249, 80.270500; 233.414261 - 231.956802 - 231.994400 - 235.077301 - 232.620255 - 232.670837 - 250.265945 - 249.533249 - 259.683868 - 258.632935 - 266.583099 - 265.450012 - 265.531860 - 263.918549 - 261.140076 - 263.021362 - 270.496552 - 269.908936 - 271.362274 - 271.342865 - 262144
425.547058, 421.663757, 387.077637, 381.618988, 369.728088, 411.050232, 96.574860, 434.633423, 77.979195, 34.494667, 80.284096; 232.668884 - 231.477081 - 232.226242 - 231.903442 - 228.525681 - 229.340027 - 243.946915 - 244.040680 - 256.786896 - 255.657181 - 266.128265 - 263.930969 - 263.947906 - 262.598785 - 262.426331 - 261.782837 - 267.304932 - 266.513336 - 271.222473 - 269.516571 - 524288
423.398438, 421.656647, 386.389832, 381.036285, 380.065735, 422.117218, 97.557983, 432.541840, 78.102272, 34.747383, 80.406898; 232.290436 - 232.125793 - 231.753677 - 233.116135 - 230.686584 - 230.703262 - 248.111221 - 249.123581 - 259.163757 - 258.429047 - 266.196320 - 265.223358 - 265.909393 - 265.003082 - 265.476349 - 265.378113 - 269.022369 - 268.516235 - 271.138824 - 270.423584 - 1048576
416.106079, 421.209290, 379.425598, 377.178833, 373.430786, 415.131195, 96.678307, 430.055756, 77.382591, 34.265598, 79.235466; 231.519867 - 230.421127 - 231.659851 - 230.547089 - 231.468246 - 230.379532 - 248.310074 - 247.481216 - 257.538452 - 256.558350 - 262.622406 - 256.284973 - 261.654968 - 262.258118 - 261.911316 - 256.354858 - 267.683899 - 265.618500 - 264.693787 - 266.114105 - 2097152
110.718903, 418.920441, 383.106415, 379.176117, 379.116119, 420.322693, 89.288300, 429.344116, 77.776108, 34.667217, 79.541748; 3.385286 - 4.788134 - 4.819053 - 4.805881 - 4.618104 - 4.610635 - 4.568457 - 21.547167 - 8.990378 - 27.366190 - 6.915481 - 26.880911 - 42.671329 - 26.221474 - 39.912167 - 23.474207 - 33.927238 - 25.173532 - 268.518402 - 19.748428 - 4194304
./timeucds/mpucds0
