>python -u "runit.py"
./timeucds/ucds0
425.610962, 422.778534, 387.140076, 383.313782, 375.336487, 412.595947, 97.472725, 431.401398, 77.957314, 35.241364, 79.793213; 243.464539 - 239.447235 - 240.350510 - 246.396652 - 246.696381 - 245.687683 - 258.013062 - 257.020416 - 261.697083 - 264.718933 - 269.615570 - 267.894531 - 269.347473 - 269.313202 - 269.383026 - 268.977539 - 271.606964 - 269.792969 - 275.354248 - 272.593414 - 16384
426.837006, 422.289795, 385.829529, 382.065704, 382.157745, 423.104706, 97.440552, 432.474945, 77.843605, 35.236897, 80.388885; 244.977859 - 236.266068 - 234.968704 - 235.460052 - 235.220291 - 236.256882 - 252.628250 - 251.993576 - 259.470184 - 260.973999 - 265.283813 - 263.619202 - 262.728363 - 263.128357 - 261.797028 - 264.715332 - 267.811035 - 270.685883 - 272.186157 - 271.914948 - 32768
421.420166, 422.905792, 387.087708, 382.270203, 381.934021, 422.884399, 97.592476, 432.796265, 78.299492, 35.232643, 80.442329; 236.506271 - 234.898529 - 236.156006 - 236.605698 - 236.025970 - 236.427338 - 252.453339 - 252.117706 - 261.257080 - 261.210968 - 267.882050 - 267.993103 - 267.504608 - 267.736847 - 266.847046 - 262.862396 - 270.239716 - 269.430817 - 274.381653 - 273.045959 - 65536
422.412079, 422.765503, 388.274384, 383.092560, 382.941315, 422.887054, 97.555183, 433.425262, 78.160011, 35.039185, 80.517708; 236.602371 - 236.391953 - 236.316528 - 236.781326 - 236.527939 - 235.454437 - 251.076736 - 252.412277 - 262.321350 - 260.765381 - 269.016968 - 268.185944 - 268.556396 - 268.124786 - 268.058441 - 268.066528 - 271.834229 - 271.516418 - 274.285034 - 273.311768 - 131072
426.273529, 422.869690, 386.996521, 382.180054, 382.541809, 421.816589, 97.621513, 433.875641, 78.240891, 35.166142, 80.131699; 236.307114 - 235.310944 - 235.966660 - 235.712753 - 235.665710 - 235.832993 - 252.024216 - 251.522736 - 261.298859 - 260.485748 - 267.742920 - 266.949219 - 267.196198 - 266.340424 - 266.561920 - 266.943024 - 271.040497 - 270.226166 - 273.455200 - 272.470581 - 262144
425.135284, 422.759644, 387.458313, 381.447845, 375.994568, 422.360596, 97.571327, 434.032471, 78.050873, 34.913475, 80.356789; 234.531235 - 234.330399 - 233.389862 - 234.389252 - 233.349426 - 234.566559 - 251.415436 - 249.342529 - 259.992828 - 259.810181 - 265.652557 - 265.514282 - 264.559784 - 263.027435 - 262.340149 - 265.214417 - 268.677032 - 269.212494 - 272.522858 - 271.567474 - 524288
422.785645, 422.318878, 386.312073, 380.341156, 379.965027, 422.000122, 96.858383, 427.021210, 76.571281, 34.159874, 78.453125; 233.955765 - 233.557419 - 232.821411 - 231.753830 - 229.887817 - 230.437241 - 250.337280 - 247.901474 - 260.005585 - 258.935120 - 265.428131 - 265.092621 - 264.365814 - 264.054260 - 259.456238 - 261.024567 - 265.894623 - 267.286987 - 270.887543 - 270.506104 - 1048576
422.135468, 421.394196, 384.708649, 378.488434, 378.527008, 421.304291, 97.345322, 431.169067, 78.069038, 34.645229, 80.111626; 233.029892 - 232.404877 - 233.683685 - 233.972275 - 233.098358 - 234.102585 - 249.992691 - 248.813568 - 259.382263 - 258.632080 - 265.879395 - 264.326141 - 264.769379 - 264.592072 - 264.876373 - 264.802460 - 268.864838 - 266.956512 - 271.540863 - 269.791077 - 2097152
218.277756, 419.843628, 384.678345, 379.165985, 379.094666, 420.347382, 92.696968, 424.411560, 77.064636, 34.641155, 79.569473; 19.667313 - 20.360329 - 22.565346 - 31.847202 - 20.913788 - 101.654861 - 65.773476 - 36.332726 - 45.058701 - 134.860764 - 66.856766 - 146.763092 - 154.331299 - 169.561127 - 263.486633 - 261.685699 - 268.369293 - 265.916656 - 208.552017 - 140.319916 - 4194304
./timeucds/mpucds0
1392.794556, 1411.318848, 1737.341553, 1410.644409, 1407.251831, 1308.898071, 354.531494, 11.694139, 5.960023, 5.794590, 6.159667; 137.067123 - 572.621277 - 103.799072 - 570.857971 - 112.198349 - 570.468384 - 169.459381 - 629.520813 - 157.444641 - 661.735779 - 170.810562 - 715.908020 - 174.308044 - 713.696350 - 155.050018 - 715.356140 - 171.533722 - 731.272278 - 192.519073 - 738.675049 - 16384
1408.576660, 1513.327271, 1700.087646, 1308.085571, 1329.665039, 1546.349609, 353.139801, 11.554275, 6.475425, 6.011901, 6.512736; 139.277664 - 546.210083 - 167.441147 - 521.187134 - 164.541611 - 545.589539 - 218.447647 - 626.891663 - 127.572723 - 676.647583 - 166.051682 - 719.883118 - 190.243179 - 731.221802 - 156.988922 - 714.034058 - 202.972931 - 735.086060 - 243.662003 - 754.318298 - 32768
